season,season_label,team_name,shot_type,shot_made,basic_zone,loc_x,loc_y,shot_distance
2013,2013-14,Portland Trail Blazers,2PT,Made,Restricted Area,-0.1,5.05,0
2013,2013-14,Phoenix Suns,2PT,Made,Restricted Area,-0.6,5.95,0
2013,2013-14,Los Angeles Lakers,2PT,Missed,Paint (non-RA),5.9,15.85,12
2013,2013-14,Atlanta Hawks,2PT,Missed,Paint (non-RA),7,7.25,7
2013,2013-14,Sacramento Kings,2PT,Missed,Midrange,18.3,7.15,18
2013,2013-14,New Orleans Hornets,2PT,Made,Paint (non-RA),-6.5,6.45,6
2013,2013-14,Los Angeles Clippers,2PT,Made,Restricted Area,0.5,5.65,0
2013,2013-14,Philadelphia 76ers,2PT,Missed,Midrange,-10.3,7.55,10
2013,2013-14,Indiana Pacers,2PT,Missed,Midrange,-11.8,19.45,18
2013,2013-14,Los Angeles Clippers,2PT,Missed,Restricted Area,-1.8,5.95,1
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-6.5,25.05,20
2013,2013-14,Utah Jazz,2PT,Missed,Paint (non-RA),2.6,11.35,6
2013,2013-14,San Antonio Spurs,2PT,Made,Restricted Area,-0.1,7.45,2
2013,2013-14,Portland Trail Blazers,2PT,Made,Midrange,10.3,5.25,10
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-1.3,5.35,1
2013,2013-14,New Orleans Hornets,2PT,Made,Restricted Area,-2.1,6.45,2
2013,2013-14,Houston Rockets,2PT,Made,Restricted Area,-1.5,5.25,1
2013,2013-14,Brooklyn Nets,2PT,Missed,Paint (non-RA),0.2,9.35,4
2013,2013-14,Brooklyn Nets,2PT,Missed,Midrange,-9.1,11.35,10
2013,2013-14,Memphis Grizzlies,2PT,Missed,Midrange,-16.8,14.15,19
2013,2013-14,Minnesota Timberwolves,2PT,Missed,Midrange,-7.2,25.55,21
2013,2013-14,Dallas Mavericks,2PT,Missed,Paint (non-RA),6.2,7.75,6
2013,2013-14,Indiana Pacers,2PT,Missed,Midrange,6.2,23.15,18
2013,2013-14,Detroit Pistons,2PT,Made,Midrange,3.2,24.45,19
2013,2013-14,Sacramento Kings,2PT,Made,Paint (non-RA),3.5,10.45,6
2013,2013-14,Los Angeles Clippers,2PT,Made,Restricted Area,0.2,4.95,0
2013,2013-14,Los Angeles Clippers,2PT,Missed,Paint (non-RA),-4,12.15,7
2013,2013-14,Minnesota Timberwolves,2PT,Missed,Midrange,19.4,9.05,19
2013,2013-14,Phoenix Suns,2PT,Made,Midrange,14.7,5.65,14
2013,2013-14,Indiana Pacers,2PT,Missed,Paint (non-RA),7.9,16.55,13
2013,2013-14,Golden State Warriors,2PT,Made,Restricted Area,-2.4,5.35,2
2013,2013-14,Los Angeles Lakers,2PT,Made,Restricted Area,-1.8,6.35,2
2013,2013-14,Minnesota Timberwolves,2PT,Made,Restricted Area,0.4,8.65,3
2013,2013-14,Philadelphia 76ers,2PT,Missed,Restricted Area,1.9,7.25,2
2013,2013-14,Philadelphia 76ers,2PT,Missed,Paint (non-RA),-0.1,15.65,10
2013,2013-14,Toronto Raptors,2PT,Made,Midrange,-18.9,14.85,21
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-9.1,22.85,19
2013,2013-14,Dallas Mavericks,2PT,Missed,Paint (non-RA),-8,13.05,11
2013,2013-14,Toronto Raptors,2PT,Missed,Paint (non-RA),4.1,12.75,8
2013,2013-14,Orlando Magic,2PT,Missed,Restricted Area,-0.1,6.65,1
2013,2013-14,Atlanta Hawks,2PT,Made,Midrange,-10.3,22.05,19
2013,2013-14,Sacramento Kings,2PT,Missed,Paint (non-RA),6.5,6.15,6
2013,2013-14,Los Angeles Clippers,2PT,Made,Restricted Area,0.5,8.55,3
2013,2013-14,Philadelphia 76ers,2PT,Made,Restricted Area,0.3,4.95,0
2013,2013-14,Portland Trail Blazers,2PT,Missed,Midrange,-21.7,7.85,21
2013,2013-14,New Orleans Hornets,2PT,Made,Restricted Area,-1.8,7.45,2
2013,2013-14,Miami Heat,2PT,Missed,Restricted Area,0.5,6.35,1
2013,2013-14,Chicago Bulls,2PT,Missed,Midrange,17.5,4.25,17
2013,2013-14,Philadelphia 76ers,2PT,Missed,Midrange,0.8,25.05,19
2013,2013-14,Houston Rockets,2PT,Made,Paint (non-RA),-4.8,9.35,6
2013,2013-14,Washington Wizards,2PT,Made,Midrange,0.4,23.35,18
2013,2013-14,Dallas Mavericks,2PT,Made,Restricted Area,-0.9,7.15,2
2013,2013-14,New Orleans Hornets,2PT,Made,Paint (non-RA),0.5,9.35,4
2013,2013-14,Sacramento Kings,2PT,Missed,Paint (non-RA),4.3,7.25,4
2013,2013-14,Phoenix Suns,2PT,Missed,Midrange,-15.4,8.35,15
2013,2013-14,Milwaukee Bucks,2PT,Made,Paint (non-RA),0.2,17.65,12
2013,2013-14,San Antonio Spurs,2PT,Missed,Midrange,10.5,22.05,19
2013,2013-14,Detroit Pistons,2PT,Made,Restricted Area,-0.6,5.65,0
2013,2013-14,Memphis Grizzlies,2PT,Made,Restricted Area,-0.7,5.35,0
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-13.8,14.15,16
2013,2013-14,Dallas Mavericks,2PT,Made,Paint (non-RA),7.5,7.45,7
2013,2013-14,Los Angeles Clippers,2PT,Made,Paint (non-RA),7.8,8.85,8
2013,2013-14,Charlotte Bobcats,2PT,Missed,Restricted Area,-0.1,8.25,3
2013,2013-14,Philadelphia 76ers,2PT,Missed,Restricted Area,0.7,5.35,0
2013,2013-14,Dallas Mavericks,2PT,Missed,Midrange,11.1,6.95,11
2013,2013-14,Milwaukee Bucks,2PT,Made,Restricted Area,0.8,5.35,0
2013,2013-14,New York Knicks,2PT,Missed,Midrange,-13.7,20.75,20
2013,2013-14,Miami Heat,2PT,Missed,Midrange,-15.7,5.25,15
